site_code year month day hour minute second datetime time_decimal air_sample_container_id value value_unc latitude longitude altitude elevation intake_height method event_number instrument analysis_datetime qcflag
ASK 2013 4 1 11 42 0 2013-04-01T11:42:00Z 2013.2479109589042 3808-99 398.87 0.07 23.2625 5.6322 2715.0 2710.0 5.0 P 351151 L8 2013-05-13T15:28:00 C..
ASK 2013 4 1 11 42 0 2013-04-01T11:42:00Z 2013.2479109589042 4279-99 399.83 0.07 23.2625 5.6322 2715.0 2710.0 5.0 P 351152 L8 2013-05-13T15:44:00 C..
ASK 2013 4 14 8 39 0 2013-04-14T08:39:00Z 2013.2831792237444 771-99 399.67 0.07 23.2625 5.6322 2715.0 2710.0 5.0 P 351153 L8 2013-05-13T14:56:00 C..
ASK 2013 4 21 9 20 0 2013-04-21T09:20:00Z 2013.3024353120243 4088-99 399.67 0.07 23.2625 5.6322 2715.0 2710.0 5.0 P 351895 L8 2013-05-24T09:42:00 ...
ASK 2013 4 21 9 20 0 2013-04-21T09:20:00Z 2013.3024353120243 4547-99 399.74 0.07 23.2625 5.6322 2715.0 2710.0 5.0 P 351894 L8 2013-05-24T09:26:00 ...
ASK 2013 4 28 9 23 0 2013-04-28T09:23:00Z 2013.3216191019787 2901-99 399.88 0.07 23.2625 5.6322 2715.0 2710.0 5.0 P 351896 L8 2013-05-23T16:03:00 ...
ASK 2013 4 28 9 23 0 2013-04-28T09:23:00Z 2013.3216191019787 4706-99 399.91 0.07 23.2625 5.6322 2715.0 2710.0 5.0 P 351897 L8 2013-05-23T16:19:00 ...
ASK 2013 5 5 10 40 0 2013-05-05T10:40:00Z 2013.3409436834095 4610-99 400.64 0.07 23.2625 5.6322 2715.0 2710.0 5.0 P 352885 L8 2013-06-10T11:58:00 ...
ASK 2013 5 5 10 40 0 2013-05-05T10:40:00Z 2013.3409436834095 4765-99 400.63 0.07 23.2625 5.6322 2715.0 2710.0 5.0 P 352886 L8 2013-06-10T11:42:00 ...
ASK 2013 5 12 11 0 0 2013-05-12T11:00:00Z 2013.3601598173516 2138-99 399.17 0.07 23.2625 5.6322 2715.0 2710.0 5.0 P 352883 L8 2013-06-10T13:18:00 ...
ASK 2013 5 12 11 0 0 2013-05-12T11:00:00Z 2013.3601598173516 4693-99 398.94 0.07 23.2625 5.6322 2715.0 2710.0 5.0 P 352884 L8 2013-06-10T13:34:00 ...
ASK 2013 5 19 8 23 0 2013-05-19T08:23:00Z 2013.3790391933028 4293-99 401.06 0.07 23.2625 5.6322 2715.0 2710.0 5.0 P 353203 L8 2013-06-12T15:52:00 C..
