site_code year month day hour minute second datetime time_decimal air_sample_container_id value value_unc latitude longitude altitude elevation intake_height method event_number instrument analysis_datetime qcflag
PSA 2013 1 5 20 10 0 2013-01-05T20:10:00Z 2013.0132610350076 2557-99 391.34 0.07 -64.7742 -64.0527 15.0 10.0 5.0 P 349338 L10 2013-03-27T15:49:00 ...
PSA 2013 1 5 20 10 0 2013-01-05T20:10:00Z 2013.0132610350076 74-99 391.28 0.07 -64.7742 -64.0527 15.0 10.0 5.0 P 349339 L10 2013-03-27T16:05:00 ...
PSA 2013 1 10 12 54 0 2013-01-10T12:54:00Z 2013.0261301369862 4352-99 390.94 0.07 -64.7742 -64.0527 15.0 10.0 5.0 P 349333 L10 2013-03-28T16:13:00 ...
PSA 2013 1 10 12 54 0 2013-01-10T12:54:00Z 2013.0261301369862 905-99 391.09 0.07 -64.7742 -64.0527 15.0 10.0 5.0 P 349332 L10 2013-03-28T15:57:00 ...
PSA 2013 1 19 10 0 0 2013-01-19T10:00:00Z 2013.0504566210045 4332-99 391.11 0.07 -64.7742 -64.0527 15.0 10.0 5.0 P 349335 L10 2013-03-28T15:40:00 ...
PSA 2013 1 19 10 0 0 2013-01-19T10:00:00Z 2013.0504566210045 440-99 391.01 0.07 -64.7742 -64.0527 15.0 10.0 5.0 P 349334 L10 2013-03-28T15:24:00 ...
PSA 2013 1 22 10 54 0 2013-01-22T10:54:00Z 2013.0587785388127 3116-99 391.14 0.07 -64.7742 -64.0527 15.0 10.0 5.0 P 349337 L10 2013-03-28T15:08:00 ...
PSA 2013 1 22 10 54 0 2013-01-22T10:54:00Z 2013.0587785388127 3859-99 391.11 0.07 -64.7742 -64.0527 15.0 10.0 5.0 P 349336 L10 2013-03-28T14:52:00 ...
PSA 2013 1 28 20 21 0 2013-01-28T20:21:00Z 2013.0762956621004 4205-99 391.36 0.07 -64.7742 -64.0527 15.0 10.0 5.0 P 351912 L10 2013-05-24T13:47:00 ...
PSA 2013 1 28 20 21 0 2013-01-28T20:21:00Z 2013.0762956621004 4206-99 391.64 0.07 -64.7742 -64.0527 15.0 10.0 5.0 P 351913 L10 2013-05-24T14:03:00 ...
PSA 2013 2 8 9 48 0 2013-02-08T09:48:00Z 2013.1052283105023 4479-99 391.21 0.07 -64.7742 -64.0527 15.0 10.0 5.0 P 351910 L10 2013-05-24T13:15:00 ...
PSA 2013 2 8 9 48 0 2013-02-08T09:48:00Z 2013.1052283105023 4480-99 391.16 0.07 -64.7742 -64.0527 15.0 10.0 5.0 P 351911 L10 2013-05-24T13:31:00 ...
PSA 2013 2 14 13 41 0 2013-02-14T13:41:00Z 2013.1221099695586 2727-99 391.34 0.07 -64.7742 -64.0527 15.0 10.0 5.0 P 351908 L10 2013-05-24T12:42:00 ...
PSA 2013 2 14 13 41 0 2013-02-14T13:41:00Z 2013.1221099695586 2728-99 391.18 0.07 -64.7742 -64.0527 15.0 10.0 5.0 P 351909 L10 2013-05-24T12:59:00 ...
PSA 2013 2 18 19 0 0 2013-02-18T19:00:00Z 2013.1336757990869 5373-99 390.98 0.07 -64.7742 -64.0527 15.0 10.0 5.0 P 351906 L10 2013-05-24T11:36:00 ...
PSA 2013 2 18 19 0 0 2013-02-18T19:00:00Z 2013.1336757990869 5374-99 392.25 0.07 -64.7742 -64.0527 15.0 10.0 5.0 P 351907 L10 2013-05-24T11:52:00 C..
PSA 2013 3 3 15 51 0 2013-03-03T15:51:00Z 2013.1689326484018 4151-99 391.23 0.07 -64.7742 -64.0527 15.0 10.0 5.0 P 351914 L10 2013-05-28T11:36:00 ...
PSA 2013 3 3 15 51 0 2013-03-03T15:51:00Z 2013.1689326484018 4152-99 391.3 0.07 -64.7742 -64.0527 15.0 10.0 5.0 P 351915 L10 2013-05-28T11:53:00 ...
PSA 2013 3 9 15 40 0 2013-03-09T15:40:00Z 2013.1853500761035 895-99 391.18 0.07 -64.7742 -64.0527 15.0 10.0 5.0 P 351916 L10 2013-05-28T10:56:00 ...
PSA 2013 3 9 15 40 0 2013-03-09T15:40:00Z 2013.1853500761035 896-99 391.11 0.07 -64.7742 -64.0527 15.0 10.0 5.0 P 351917 L10 2013-05-28T11:12:00 ...
PSA 2013 3 14 16 28 0 2013-03-14T16:28:00Z 2013.1991400304414 3305-99 391.43 0.07 -64.7742 -64.0527 15.0 10.0 5.0 P 351918 L8 2013-05-24T13:42:00 ...
