site_code year month day hour minute second datetime time_decimal air_sample_container_id value value_unc latitude longitude altitude elevation intake_height method event_number instrument analysis_datetime qcflag
AMY 2013 12 3 5 44 0 2013-12-03T05:44:00Z 2013.9212024353121 2369-99 406.54 0.07 36.5389 126.3295 87.0 47.0 40.0 G 363801 L10 2014-02-12T16:51:00 ...
AMY 2013 12 3 5 44 0 2013-12-03T05:44:00Z 2013.9212024353121 522-99 406.59 0.07 36.5389 126.3295 87.0 47.0 40.0 G 363800 L10 2014-02-12T16:35:00 ...
AMY 2013 12 10 5 0 0 2013-12-10T05:00:00Z 2013.940296803653 2969-99 402.59 0.07 36.5389 126.3295 87.0 47.0 40.0 G 363803 L8 2014-02-12T16:04:00 ...
AMY 2013 12 10 5 0 0 2013-12-10T05:00:00Z 2013.940296803653 4850-99 402.63 0.07 36.5389 126.3295 87.0 47.0 40.0 G 363802 L8 2014-02-12T15:48:00 ...
AMY 2013 12 19 5 0 0 2013-12-19T05:00:00Z 2013.9649543378996 1478-99 405.47 0.07 36.5389 126.3295 87.0 47.0 40.0 G 363809 L8 2014-02-13T15:43:00 ...
AMY 2013 12 19 5 0 0 2013-12-19T05:00:00Z 2013.9649543378996 3085-99 405.39 0.07 36.5389 126.3295 87.0 47.0 40.0 G 363808 L8 2014-02-13T15:27:00 ...
AMY 2013 12 24 5 0 0 2013-12-24T05:00:00Z 2013.9786529680366 446-99 408.48 0.07 36.5389 126.3295 87.0 47.0 40.0 G 363823 L8 2014-02-13T16:15:00 ...
AMY 2013 12 24 5 0 0 2013-12-24T05:00:00Z 2013.9786529680366 689-99 408.59 0.07 36.5389 126.3295 87.0 47.0 40.0 G 363822 L8 2014-02-13T15:59:00 ...
AMY 2014 1 2 5 0 0 2014-01-02T05:00:00Z 2014.003310502283 1460-99 413.88 0.07 36.5389 126.3295 87.0 47.0 40.0 G 363827 L8 2014-02-19T10:33:00 ...
AMY 2014 1 2 5 0 0 2014-01-02T05:00:00Z 2014.003310502283 3064-99 413.5 0.07 36.5389 126.3295 87.0 47.0 40.0 G 363826 L8 2014-02-19T10:17:00 ...
AMY 2014 1 7 5 0 0 2014-01-07T05:00:00Z 2014.01700913242 2965-99 416.75 0.07 36.5389 126.3295 87.0 47.0 40.0 G 363825 L8 2014-02-19T11:05:00 ...
AMY 2014 1 7 5 0 0 2014-01-07T05:00:00Z 2014.01700913242 4795-99 416.26 0.07 36.5389 126.3295 87.0 47.0 40.0 G 363824 L8 2014-02-19T10:49:00 ...
AMY 2014 1 16 5 0 0 2014-01-16T05:00:00Z 2014.0416666666667 83-99 421.44 0.07 36.5389 126.3295 87.0 47.0 40.0 G 363804 L8 2014-02-12T16:52:00 ...
AMY 2014 1 16 5 0 0 2014-01-16T05:00:00Z 2014.0416666666667 893-99 421.4 0.07 36.5389 126.3295 87.0 47.0 40.0 G 363805 L8 2014-02-12T17:08:00 ...
AMY 2014 1 22 5 0 0 2014-01-22T05:00:00Z 2014.0581050228311 2178-99 411.26 0.07 36.5389 126.3295 87.0 47.0 40.0 G 363807 L8 2014-02-12T16:36:00 ...
AMY 2014 1 22 5 0 0 2014-01-22T05:00:00Z 2014.0581050228311 4377-99 411.3 0.07 36.5389 126.3295 87.0 47.0 40.0 G 363806 L8 2014-02-12T16:20:00 ...
AMY 2014 1 28 5 10 0 2014-01-28T05:10:00Z 2014.0745624048707 1499-99 408.7 0.07 36.5389 126.3295 87.0 47.0 40.0 G 365615 L10 2014-03-21T10:22:00 C..
