site_code year month day hour minute second datetime time_decimal air_sample_container_id value value_unc latitude longitude altitude elevation intake_height method event_number instrument analysis_datetime qcflag
ZEP 2013 1 3 9 15 0 2013-01-03T09:15:00Z 2013.0065353881278 173-99 402.03 0.07 78.9067 11.8883 479.0 474.0 5.0 P 346833 L8 2013-01-29T15:43:00 ...
ZEP 2013 1 3 9 15 0 2013-01-03T09:15:00Z 2013.0065353881278 174-99 402.15 0.07 78.9067 11.8883 479.0 474.0 5.0 P 346834 L8 2013-01-29T15:58:00 ...
ZEP 2013 1 11 10 5 0 2013-01-11T10:05:00Z 2013.028548325723 5109-99 399.13 0.07 78.9067 11.8883 479.0 474.0 5.0 P 347615 L8 2013-02-15T09:34:00 ...
ZEP 2013 1 11 10 5 0 2013-01-11T10:05:00Z 2013.028548325723 5110-99 399.14 0.07 78.9067 11.8883 479.0 474.0 5.0 P 347616 L8 2013-02-15T09:49:00 ...
ZEP 2013 1 18 11 52 0 2013-01-18T11:52:00Z 2013.0479299847793 405-99 401.98 0.07 78.9067 11.8883 479.0 474.0 5.0 P 347617 L8 2013-02-15T10:05:00 ...
ZEP 2013 1 18 11 52 0 2013-01-18T11:52:00Z 2013.0479299847793 406-99 401.96 0.07 78.9067 11.8883 479.0 474.0 5.0 P 347618 L8 2013-02-15T10:20:00 ...
ZEP 2013 1 24 10 15 0 2013-01-24T10:15:00Z 2013.0641837899543 2683-99 401.87 0.07 78.9067 11.8883 479.0 474.0 5.0 P 347789 L10 2013-02-20T14:38:00 ...
ZEP 2013 1 24 10 15 0 2013-01-24T10:15:00Z 2013.0641837899543 2684-99 401.75 0.07 78.9067 11.8883 479.0 474.0 5.0 P 347790 L10 2013-02-20T14:54:00 ...
ZEP 2013 1 31 9 17 0 2013-01-31T09:17:00Z 2013.08325152207 1677-99 403.38 0.07 78.9067 11.8883 479.0 474.0 5.0 P 347791 L10 2013-02-20T15:10:00 ...
ZEP 2013 1 31 9 17 0 2013-01-31T09:17:00Z 2013.08325152207 1678-99 403.3 0.07 78.9067 11.8883 479.0 474.0 5.0 P 347792 L10 2013-02-20T15:27:00 ...
ZEP 2013 2 7 9 50 0 2013-02-07T09:50:00Z 2013.10249238965 799-91 405.45 0.07 78.9067 11.8883 479.0 474.0 5.0 P 348217 L10 2013-03-05T13:21:00 .S.
ZEP 2013 2 7 9 50 0 2013-02-07T09:50:00Z 2013.10249238965 800-91 405.46 0.07 78.9067 11.8883 479.0 474.0 5.0 P 348218 L10 2013-03-05T13:37:00 .S.
ZEP 2013 2 14 8 54 0 2013-02-14T08:54:00Z 2013.1215639269406 737-91 402.46 0.07 78.9067 11.8883 479.0 474.0 5.0 P 348801 L10 2013-03-19T10:15:00 ...
ZEP 2013 2 14 8 54 0 2013-02-14T08:54:00Z 2013.1215639269406 738-91 402.38 0.07 78.9067 11.8883 479.0 474.0 5.0 P 348802 L10 2013-03-19T10:31:00 ...
ZEP 2013 2 21 8 35 0 2013-02-21T08:35:00Z 2013.1407058599696 795-91 401.5 0.07 78.9067 11.8883 479.0 474.0 5.0 P 348803 L10 2013-03-19T13:29:00 ...
ZEP 2013 2 21 8 35 0 2013-02-21T08:35:00Z 2013.1407058599696 796-91 401.43 0.07 78.9067 11.8883 479.0 474.0 5.0 P 348804 L10 2013-03-19T13:46:00 ...
ZEP 2013 2 28 9 55 0 2013-02-28T09:55:00Z 2013.1600361491628 1429-99 400.98 0.07 78.9067 11.8883 479.0 474.0 5.0 P 349459 L8 2013-04-02T12:12:00 ...
ZEP 2013 2 28 9 55 0 2013-02-28T09:55:00Z 2013.1600361491628 1430-99 400.98 0.07 78.9067 11.8883 479.0 474.0 5.0 P 349460 L8 2013-04-02T12:28:00 ...
ZEP 2013 3 7 9 29 0 2013-03-07T09:29:00Z 2013.1791647640791 5051-99 401.64 0.07 78.9067 11.8883 479.0 474.0 5.0 P 349457 L8 2013-04-02T12:44:00 ...
