site_code year month day hour minute second datetime time_decimal air_sample_container_id value value_unc latitude longitude altitude elevation intake_height method event_number instrument analysis_datetime qcflag
CGO 2013 1 9 0 38 0 2013-01-09T00:38:00Z 2013.021990106545 91-99 391.33 0.07 -40.683 144.69 164.0 94.0 70.0 G 349447 L8 2013-04-02T14:52:00 ..C
CGO 2013 1 9 0 38 0 2013-01-09T00:38:00Z 2013.021990106545 92-99 391.28 0.07 -40.683 144.69 164.0 94.0 70.0 G 349448 L8 2013-04-02T15:08:00 ...
CGO 2013 1 21 23 25 0 2013-01-21T23:25:00Z 2013.0574676560122 2737-99 391.59 0.07 -40.683 144.69 164.0 94.0 70.0 G 349445 L8 2013-04-02T13:48:00 ..C
CGO 2013 1 21 23 25 0 2013-01-21T23:25:00Z 2013.0574676560122 2738-99 391.49 0.07 -40.683 144.69 164.0 94.0 70.0 G 349446 L8 2013-04-02T14:04:00 ...
CGO 2013 2 7 2 9 0 2013-02-07T02:09:00Z 2013.1016152968036 1849-99 391.48 0.07 -40.683 144.69 164.0 94.0 70.0 G 349449 L8 2013-04-02T14:20:00 ..C
CGO 2013 2 7 2 9 0 2013-02-07T02:09:00Z 2013.1016152968036 1850-99 391.48 0.07 -40.683 144.69 164.0 94.0 70.0 G 349450 L8 2013-04-02T14:36:00 ...
CGO 2013 2 19 0 10 0 2013-02-19T00:10:00Z 2013.1342656012177 4419-99 391.22 0.07 -40.683 144.69 164.0 94.0 70.0 G 349451 L8 2013-04-02T15:24:00 ..C
CGO 2013 2 19 0 10 0 2013-02-19T00:10:00Z 2013.1342656012177 4420-99 391.21 0.07 -40.683 144.69 164.0 94.0 70.0 G 349452 L8 2013-04-02T15:40:00 ...
CGO 2013 2 26 23 53 0 2013-02-26T23:53:00Z 2013.156151065449 1885-99 392.27 0.07 -40.683 144.69 164.0 94.0 70.0 G 351345 L8 2013-05-16T14:23:00 ..C
CGO 2013 2 26 23 53 0 2013-02-26T23:53:00Z 2013.156151065449 1886-99 392.23 0.07 -40.683 144.69 164.0 94.0 70.0 G 351346 L8 2013-05-16T14:39:00 ...
CGO 2013 3 13 23 38 0 2013-03-13T23:38:00Z 2013.1972184170472 2779-99 392.04 0.07 -40.683 144.69 164.0 94.0 70.0 G 351347 L8 2013-05-16T13:51:00 ..C
CGO 2013 3 13 23 38 0 2013-03-13T23:38:00Z 2013.1972184170472 2780-99 392.01 0.07 -40.683 144.69 164.0 94.0 70.0 G 351348 L8 2013-05-16T14:07:00 ...
CGO 2013 4 2 3 10 0 2013-04-02T03:10:00Z 2013.2496765601218 5007-99 391.96 0.07 -40.683 144.69 164.0 94.0 70.0 G 352190 L8 2013-05-29T15:30:00 ..C
CGO 2013 4 2 3 10 0 2013-04-02T03:10:00Z 2013.2496765601218 5008-99 391.94 0.07 -40.683 144.69 164.0 94.0 70.0 G 352191 L8 2013-05-29T15:46:00 ...
CGO 2013 4 10 4 59 0 2013-04-10T04:59:00Z 2013.2718017503805 1101-99 392.05 0.07 -40.683 144.69 164.0 94.0 70.0 G 352188 L10 2013-05-29T16:45:00 ..C
CGO 2013 4 10 4 59 0 2013-04-10T04:59:00Z 2013.2718017503805 1102-99 391.98 0.07 -40.683 144.69 164.0 94.0 70.0 G 352189 L10 2013-05-29T17:01:00 ...
CGO 2013 4 24 3 38 0 2013-04-24T03:38:00Z 2013.310003805175 4239-99 392.01 0.07 -40.683 144.69 164.0 94.0 70.0 G 352891 L10 2013-06-10T13:01:00 ..C
CGO 2013 4 24 3 38 0 2013-04-24T03:38:00Z 2013.310003805175 4240-99 392.01 0.07 -40.683 144.69 164.0 94.0 70.0 G 352892 L10 2013-06-10T13:17:00 ...
CGO 2013 5 1 1 44 0 2013-05-01T01:44:00Z 2013.3289649923897 2423-99 392.2 0.07 -40.683 144.69 164.0 94.0 70.0 G 352893 L10 2013-06-10T12:42:00 ...
CGO 2013 5 1 1 44 0 2013-05-01T01:44:00Z 2013.3289649923897 2424-99 392.14 0.07 -40.683 144.69 164.0 94.0 70.0 G 352894 L10 2013-06-10T12:25:00 ..C
CGO 2013 5 17 1 7 0 2013-05-17T01:07:00Z 2013.3727302130899 5129-99 392.68 0.07 -40.683 144.69 164.0 94.0 70.0 G 355611 L8 2013-08-12T11:38:00 ..C
CGO 2013 5 17 1 7 0 2013-05-17T01:07:00Z 2013.3727302130899 5130-99 392.58 0.07 -40.683 144.69 164.0 94.0 70.0 G 355612 L8 2013-08-12T11:54:00 ...
