site_code year month day hour minute second datetime time_decimal air_sample_container_id value value_unc latitude longitude altitude elevation intake_height method event_number instrument analysis_datetime qcflag
USH 2013 1 6 15 2 0 2013-01-06T15:02:00Z 2013.0154147640792 2931-99 392.33 0.07 -54.8484 -68.3106 32.0 12.0 20.0 P 348583 L10 2013-03-13T15:48:00 C..
USH 2013 1 6 15 2 0 2013-01-06T15:02:00Z 2013.0154147640792 2932-99 392.07 0.07 -54.8484 -68.3106 32.0 12.0 20.0 P 348584 L10 2013-03-13T16:04:00 C..
USH 2013 1 11 15 10 0 2013-01-11T15:10:00Z 2013.0291286149163 1341-99 390.75 0.07 -54.8484 -68.3106 32.0 12.0 20.0 P 348581 L10 2013-03-14T15:03:00 C..
USH 2013 1 11 15 10 0 2013-01-11T15:10:00Z 2013.0291286149163 1342-99 390.67 0.07 -54.8484 -68.3106 32.0 12.0 20.0 P 348582 L10 2013-03-14T15:19:00 C..
USH 2013 1 22 17 31 0 2013-01-22T17:31:00Z 2013.0595338660578 3031-99 390.67 0.07 -54.8484 -68.3106 32.0 12.0 20.0 P 348579 L10 2013-03-14T15:35:00 C..
USH 2013 1 22 17 31 0 2013-01-22T17:31:00Z 2013.0595338660578 3032-99 390.55 0.07 -54.8484 -68.3106 32.0 12.0 20.0 P 348580 L10 2013-03-14T15:51:00 C..
USH 2013 2 3 16 40 0 2013-02-03T16:40:00Z 2013.0923135464232 6089-66 392.15 0.07 -54.8484 -68.3106 32.0 12.0 20.0 P 360527 L8 2013-11-25T15:15:00 C..
USH 2013 2 3 16 40 0 2013-02-03T16:40:00Z 2013.0923135464232 6090-66 392.17 0.07 -54.8484 -68.3106 32.0 12.0 20.0 P 360528 L8 2013-11-25T15:31:00 C..
USH 2013 2 15 14 46 0 2013-02-15T14:46:00Z 2013.1249733637746 3413-99 391.55 0.07 -54.8484 -68.3106 32.0 12.0 20.0 P 360525 L8 2013-11-25T15:47:00 C..
USH 2013 2 15 14 46 0 2013-02-15T14:46:00Z 2013.1249733637746 3414-99 391.34 0.07 -54.8484 -68.3106 32.0 12.0 20.0 P 360526 L8 2013-11-25T16:03:00 C..
