Year,Month,CO2 (ppm)
1969,8,322.51
1969,9,321.36
1969,10,320.74
1969,11,321.98
1969,12,323.78
1970,1,325.13
1970,2,325.55
1970,3,325.67
1970,4,326.58
1970,5,327.69
1970,6,327.3
1970,7,326.12
1970,8,324.91
1970,9,322.99
1970,10,322.64
1970,11,324.03
1970,12,325.54
1976,7,332.29
1976,8,331.04
1976,9,329.67
1976,10,329.33
1976,11,330.47
1976,12,331.97
1977,1,332.77
1977,2,333.1
1977,3,334.07
1977,4,335.78
1977,5,336.49
1977,6,335.97
1977,7,334.63
1977,8,332.31
1977,9,330.66
1977,10,330.55
1977,11,331.73
1977,12,333.75
1978,1,335.17
1978,2,335.78
1978,3,336.7
1978,4,337.77
1978,5,338.02
1978,6,337.58
1978,7,336.17
1978,8,333.89
1978,9,332.19
1978,10,332.2
1978,11,333.24
1978,12,334.64
1979,1,336.12
1979,2,337.21
1979,3,338.51
1979,4,339.0
1979,5,338.93
1979,6,338.97
1979,7,337.78
1979,8,335.57
1979,9,333.94
1979,10,334.41
1979,11,335.66
1979,12,336.81
1980,1,338.94
1980,2,340.32
1980,3,341.47
1980,4,342.88
1980,5,342.91
1980,6,341.74
1980,7,339.15
1980,8,337.04
1980,9,336.6
1980,10,336.6
1980,11,337.55
1980,12,339.17
1981,1,340.45
1981,2,341.48
1981,3,342.39
1981,4,343.42
1981,5,343.69
1981,6,342.49
1981,7,340.53
1981,8,338.8
1981,9,337.48
1981,10,337.63
1981,11,339.0
1981,12,340.32
1982,1,341.21
1982,2,342.1
1982,3,343.13
1982,4,343.92
1982,5,343.86
1982,6,342.96
1982,7,341.55
1982,8,339.34
1982,9,337.41
1982,10,337.73
1982,11,339.13
1982,12,340.75
1983,1,342.05
1983,2,342.46
1983,3,343.21
1983,4,345.21
1983,5,346.19
1983,6,345.39
1983,7,343.61
1983,8,341.29
1983,9,339.86
1983,10,340.06
1983,11,341.23
1983,12,342.82
1984,1,344.03
1984,2,344.69
1984,3,345.62
1984,4,346.91
1984,5,347.49
1984,6,346.73
