Timestamp,Fractional Year,CO2 (ppm),Standard Deviation (ppm)
2021-07-02T15:21:59Z,2021.500384290969,417.8,0.041
2021-07-02T15:21:59Z,2021.500384290969,417.76,0.041
2021-07-04T15:22:01Z,2021.5058638064436,416.95,0.041
2021-07-04T15:22:01Z,2021.5058638064436,416.98,0.041
2021-07-06T15:22:19Z,2021.5113438292744,417.67,0.041
2021-07-06T15:22:19Z,2021.5113438292744,417.67,0.041
2021-07-08T15:22:09Z,2021.5168229642316,417.77,0.041
2021-07-08T15:22:09Z,2021.5168229642316,417.78,0.041
2021-07-10T15:22:09Z,2021.522302416286,416.75,0.041
2021-07-10T15:22:09Z,2021.522302416286,416.77,0.041
2021-07-12T15:22:24Z,2021.527782343988,416.51,0.041
2021-07-12T15:22:24Z,2021.527782343988,416.47,0.041
2021-07-16T15:21:50Z,2021.5387401699645,418.34,0.041
2021-07-16T15:21:50Z,2021.5387401699645,418.34,0.041
2021-07-21T15:21:51Z,2021.5524388318115,416.98,0.041
2021-07-21T15:21:51Z,2021.5524388318115,416.97,0.041
2021-07-23T15:22:03Z,2021.557918664384,415.94,0.041
2021-07-23T15:22:03Z,2021.557918664384,416.32,0.041
2021-07-25T15:21:58Z,2021.5633979578893,416.35,0.041
2021-07-25T15:21:58Z,2021.5633979578893,416.35,0.041
2021-07-27T15:21:57Z,2021.5688773782344,416.14,0.041
2021-07-27T15:21:57Z,2021.5688773782344,416.12,0.041
2021-07-29T15:22:04Z,2021.5743570522577,415.06,0.041
2021-07-29T15:22:04Z,2021.5743570522577,415.23,0.041
2021-07-31T15:21:53Z,2021.5798361555048,415.4,0.041
2021-07-31T15:21:53Z,2021.5798361555048,415.55,0.041
2021-08-02T15:22:07Z,2021.5853160514969,413.67,0.041
2021-08-02T15:22:07Z,2021.5853160514969,413.62,0.041
2021-08-04T15:22:05Z,2021.590795440132,415.06,0.041
2021-08-04T15:22:05Z,2021.590795440132,414.98,0.041
2021-08-06T15:21:57Z,2021.5962746385085,414.99,0.041
2021-08-06T15:21:57Z,2021.5962746385085,414.96,0.041
2021-08-08T15:22:05Z,2021.6017543442413,416.7,0.041
2021-08-08T15:22:05Z,2021.6017543442413,416.81,0.041
2021-08-10T15:21:45Z,2021.6072331621008,414.24,0.041
2021-08-10T15:21:45Z,2021.6072331621008,414.29,0.041
2021-08-12T15:21:51Z,2021.612712804414,414.6,0.041
2021-08-12T15:21:51Z,2021.612712804414,414.64,0.041
2021-08-14T15:21:51Z,2021.6181922564688,414.79,0.041
2021-08-14T15:21:51Z,2021.6181922564688,414.75,0.041
2021-08-16T15:22:01Z,2021.623672025621,415.28,0.041
2021-08-16T15:22:01Z,2021.623672025621,415.26,0.041
2021-08-18T15:21:52Z,2021.629151192288,414.79,0.041
2021-08-18T15:21:52Z,2021.629151192288,414.84,0.041
2021-08-20T15:22:00Z,2021.6346308980208,414.86,0.041
2021-08-20T15:22:00Z,2021.6346308980208,414.81,0.041
2021-08-22T15:22:00Z,2021.640110350076,414.83,0.041
2021-08-22T15:22:00Z,2021.640110350076,414.84,0.041
2021-08-26T15:21:58Z,2021.651069190766,414.24,0.041
